name,county,address,city,state,zip,lat,lng,hrs,hour_flag
Kelver Public Library,Arapahoe,404 E Front St,Byers,CO,80103.0,39.708327,-104.21829,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Martin Luther King Jr. Library,Arapahoe,9898 E Colfax Ave,Aurora,CO,80010.0,39.739561,-104.87328,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Mission Viejo library,Arapahoe,15324 E Hampden Cir,Aurora,CO,80013.0,39.650595,-104.8094,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Smoky Hill Library,Arapahoe,5430 S Biscay Cir,Centennial,CO,80015.0,39.617941,-104.76761,Not Open; Not Open; Not Open,True
Smoky Hill Library,Arapahoe,5430 S Biscay Cir,Centennial,CO,80015.0,39.617941,-104.76761,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Tallyn's Reach Library,Arapahoe,23911 E Arapahoe Rd,Aurora,CO,80016.0,39.589936,-104.7088,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Utah Indoor Pool,Arapahoe,1800 S Peoria St,Aurora,CO,80012.0,39.684089,-104.84636,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Archuleta County Courthouse,Archuleta,449 San Juan St,Pagosa Springs,CO,81147.0,37.266104,-107.01187,Not Open; Not Open; Open 24 hours every day starting Monday,True
Baca County Courthouse,Baca,741 Main St,Springfield,CO,81073.0,37.406543,-102.61669,Not Open; Not Open; Open 24 hours every day starting Monday,True
Bent County Courthouse,Bent,725 Bent Ave,Las Animas,CO,81054.0,38.065626,-103.22014,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Boulder County Clerk & Recorder,Boulder,1750 33rd St,Boulder,CO,80301.0,40.017605,-105.24922,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Boulder County Clerk & Recorder - St. Vrain Community Hub,Boulder,Corner of 6th Ave and Coffman,Longmont,CO,80501.0,40.1690133,-105.1038171,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Boulder County Courthouse - East Wing Entrance,Boulder,2025 14th,Boulder,CO,80302.0,40.01868,-105.27764,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Boulder County Fairgrounds,Boulder,9595 Nelson Rd,Longmont,CO,80501.0,40.155556,-105.12903,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Boulder County Housing and Human Services,Boulder,Corner of Broadway and Iris,Boulder,CO,80304.0,40.036417,-105.28207,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
CU Campus - (UMC) - Closest to Euclid Avenue Entrance,Boulder,1669 Euclid Ave,Boulder,CO,80309.0,40.006575,-105.27147,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Front Range Community College - Classroom Bldg (C1 Door),Boulder,2121 Miller Dr,Longmont,CO,80501.0,40.139061,-105.127447,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Garden Acres Park,Boulder,18th Ave between Sunset and Juniper Streets,Longmont,CO,80501.0,40.191465,-105.121331,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Lafayette Public Library,Boulder,775 W Baseline Rd,Lafayette,CO,80026.0,40.000801,-105.099512,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Louisville Police Dept,Boulder,992 W Via Appia Way,Louisville,CO,80027.0,39.972475,-105.16355,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Lyons Town Hall,Boulder,432 5th Ave,Lyons,CO,80540.0,40.223279,-105.27105,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Nederland Community Center,Boulder,750 N CO Highway 72,Nederland,CO,80466.0,39.964705,-105.512213,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
South Boulder Recreation Center,Boulder,1360 Gillaspie,Boulder,CO,80305.0,39.974524,-105.2486,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Star Meadows Park,Boulder,777 Flatiron Meadows Bd,Erie,CO,80516.0,40.032923,-105.084993,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Superior Town Hall,Boulder,124 E Coal Creek Dr,Superior,CO,80027.0,39.95358,-105.16606,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
YMCA,Boulder,950 Lashley St,Longmont,CO,80501.0,40.174969,-105.08739,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Anthem Ranch Gate House,Broomfield,16591 Lowell Blvd,Broomfield,CO,80023.0,39.996689,-105.03958,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Broomfield City and County Building,Broomfield,1 Descombes Dr,Broomfield,CO,80020.0,39.92016,-105.0691,Open 24 hours every day; Open 24 hours every day; Open 24 hours every day,False
Flatirons Mall,Broomfield,170 E Flatiron Crossing Dr,Broomfield,CO,80021.0,39.932115,-105.12478,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Paul Derda Recreation Center,Broomfield,13201 Lowell Blvd,Broomfield,CO,80020.0,39.934413,-105.03626,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Redpoint Ridge Park at Arista,Broomfield,11337 Central Ct,Broomfield,CO,80021.0,39.903304,-105.08877,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Buena Vista Motor Vehicle Office,Chaffee,112 Linderman Ave,Buena Vista,CO,81211.0,38.840885,-106.13333,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Salida Clerk's Office,Chaffee,104 Crestone Ave,Salida,CO,81201.0,38.537561,-105.99827,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
